Timestamp,Participant_ID,Phase_ID,Mission_Title,Condition,Phase_Label,Title,Round_Count,Chat_Count,Started_At,Ended_At
2026-06-10T17:37:53.892558,9,text_travel_a_run1_phase_1,文字任務 1,A,Phase 1,初始旅遊規劃,6,1,2026-06-10T09:37:26.567Z,2026-06-10T09:37:53.888Z
2026-06-10T17:38:06.587997,9,text_travel_a_run1_phase_2,文字任務 1,A,Phase 2,大量資訊整理任務,4,1,2026-06-10T09:37:53.896Z,2026-06-10T09:38:06.584Z
2026-06-10T17:38:24.141951,9,text_travel_a_run1_phase_3,文字任務 1,A,Phase 3,突發變更與重新規劃,6,1,2026-06-10T09:38:06.591Z,2026-06-10T09:38:24.138Z
2026-06-10T17:38:25.394584,9,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-10T09:38:24.146Z,2026-06-10T09:38:25.389Z
2026-06-10T17:38:27.299049,9,voice_restaurant_b_run1_phase_1,語音任務 1,B,Phase 1,情境記憶階段,0,1,2026-06-10T09:38:25.397Z,2026-06-10T09:38:27.295Z
2026-06-10T17:39:44.240847,1,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-10T09:39:37.109Z,2026-06-10T09:39:44.232Z
2026-06-10T17:40:13.447784,1,text_travel_a_run1_phase_1,文字任務 1,A,Phase 1,初始旅遊規劃,6,1,2026-06-10T09:39:44.246Z,2026-06-10T09:40:13.443Z
2026-06-10T17:40:20.332636,1,text_travel_a_run1_phase_2,文字任務 1,A,Phase 2,大量資訊整理任務,4,1,2026-06-10T09:40:13.459Z,2026-06-10T09:40:20.328Z
2026-06-10T17:40:41.661311,1,text_travel_a_run1_phase_3,文字任務 1,A,Phase 3,突發變更與重新規劃,6,1,2026-06-10T09:40:20.342Z,2026-06-10T09:40:41.657Z
2026-06-10T17:40:42.566096,1,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-10T09:40:41.665Z,2026-06-10T09:40:42.562Z
2026-06-10T17:40:43.708354,1,voice_restaurant_a_run1_phase_1,語音任務 1,A,Phase 1,情境記憶階段,0,1,2026-06-10T09:40:42.576Z,2026-06-10T09:40:43.704Z
2026-06-10T17:40:53.462886,1,voice_restaurant_a_run1_phase_2,語音任務 1,A,Phase 2,語音決策與討論,1,1,2026-06-10T09:40:43.712Z,2026-06-10T09:40:53.458Z
2026-06-10T17:41:08.584144,1,voice_restaurant_a_run1_phase_3,語音任務 1,A,Phase 3,AI 回覆後修正與確認,1,1,2026-06-10T09:40:53.476Z,2026-06-10T09:41:08.580Z
2026-06-10T17:41:09.440411,1,voice_questionnaire_run1,語音任務 1 問卷,,Info,餐廳語音任務問卷,0,0,2026-06-10T09:41:08.593Z,2026-06-10T09:41:09.437Z
2026-06-10T17:41:09.874399,1,end,實驗結束,,Info,完成實驗,0,0,2026-06-10T09:41:09.443Z,2026-06-10T09:41:09.853Z
2026-06-10T17:44:31.641642,2,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-10T09:44:21.566Z,2026-06-10T09:44:31.633Z
2026-06-10T19:27:50.100516,2,text_travel_b_run1_phase_1,文字任務 1,B,Phase 1,初始旅遊規劃,6,1,2026-06-10T11:27:06.212Z,2026-06-10T11:27:50.092Z
2026-06-10T19:28:04.899731,2,text_travel_b_run1_phase_2,文字任務 1,B,Phase 2,大量資訊整理任務,4,2,2026-06-10T11:27:50.109Z,2026-06-10T11:28:04.894Z
2026-06-10T19:28:18.368526,2,text_travel_b_run1_phase_3,文字任務 1,B,Phase 3,突發變更與重新規劃,6,2,2026-06-10T11:28:04.908Z,2026-06-10T11:28:18.364Z
2026-06-10T19:28:20.189003,2,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-10T11:28:18.376Z,2026-06-10T11:28:20.185Z
2026-06-10T19:28:23.325873,2,voice_restaurant_a_run1_phase_1,語音任務 1,A,Phase 1,情境記憶階段,0,1,2026-06-10T11:28:20.194Z,2026-06-10T11:28:23.321Z
2026-06-10T19:29:11.802627,2,voice_restaurant_a_run1_phase_2,語音任務 1,A,Phase 2,語音決策與討論,1,1,2026-06-10T11:28:40.024Z,2026-06-10T11:29:11.798Z
2026-06-10T19:29:17.442208,2,voice_restaurant_a_run1_phase_3,語音任務 1,A,Phase 3,AI 回覆後修正與確認,1,1,2026-06-10T11:29:11.809Z,2026-06-10T11:29:17.437Z
2026-06-10T19:29:17.849131,2,voice_questionnaire_run1,語音任務 1 問卷,,Info,餐廳語音任務問卷,0,0,2026-06-10T11:29:17.446Z,2026-06-10T11:29:17.845Z
2026-06-10T19:29:18.314457,2,end,實驗結束,,Info,完成實驗,0,0,2026-06-10T11:29:17.860Z,2026-06-10T11:29:18.297Z
2026-06-14T23:07:28.482793,1,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-14T15:07:23.908Z,2026-06-14T15:07:28.470Z
2026-06-14T23:13:57.728298,66,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-14T15:13:55.121Z,2026-06-14T15:13:57.718Z
2026-06-14T23:14:34.561541,66,text_travel_b_run1_phase_1,文字任務 1,B,Phase 1,初始旅遊規劃,6,1,2026-06-14T15:13:57.790Z,2026-06-14T15:14:34.556Z
