Timestamp,Subject_ID,Chat_ID,Phase_ID,Scenario,Trigger_Type,Recovery_Time_ms,Migration_Time_ms,Tokens,Rounds,Input_Length
2026-06-10T17:19:26.808857,9,chat_1781083150816_mo2xsm,,A,manual,0,0,46,5,6
2026-06-10T17:19:27.998986,9,chat_1781083150816_mo2xsm,,A,manual,0,0,54,6,6
2026-06-10T17:19:31.044756,9,chat_1781083150816_mo2xsm,,A,manual,0,0,52,6,6
2026-06-10T17:19:34.206133,9,chat_1781083172376_g6m0l0,,A,manual,0,0,11,1,6
2026-06-10T17:19:36.069509,9,chat_1781083172376_g6m0l0,,A,manual,0,0,19,2,6
2026-06-10T17:19:37.612587,9,chat_1781083172376_g6m0l0,,A,manual,0,0,27,3,6
2026-06-10T17:26:54.979219,3,chat_1781083598853_8dvtoe,,C,manual,0,0,0,1,6
2026-06-10T17:26:57.618299,3,chat_1781083598853_8dvtoe,,C,manual,0,0,11,2,6
2026-06-10T17:26:58.928118,3,chat_1781083598853_8dvtoe,,C,manual,0,0,19,3,6
2026-06-10T17:27:00.103133,3,chat_1781083598853_8dvtoe,,C,manual,0,0,27,4,6
2026-06-10T17:27:01.396474,3,chat_1781083598853_8dvtoe,,C,manual,0,0,35,5,6
2026-06-10T17:27:02.521728,3,chat_1781083598853_8dvtoe,,C,manual,0,0,43,6,6
2026-06-10T17:27:05.362438,3,chat_1781083598853_8dvtoe,,C,manual,0,0,51,7,6
2026-06-10T17:27:06.545068,3,chat_1781083598853_8dvtoe,,C,manual,0,0,59,8,6
2026-06-10T17:27:08.150015,3,chat_1781083598853_8dvtoe,,C,manual,0,0,67,9,6
2026-06-10T17:27:10.184315,3,chat_1781083598853_8dvtoe,,C,manual,0,0,75,10,6
2026-06-10T17:27:12.190276,3,chat_1781083598853_8dvtoe,,C,manual,0,0,83,11,6
2026-06-10T17:27:14.058131,3,chat_1781083598853_8dvtoe,,C,manual,0,0,91,12,6
2026-06-10T17:27:15.841143,3,chat_1781083598853_8dvtoe,,C,manual,0,0,99,13,6
2026-06-10T17:27:17.192793,3,chat_1781083598853_8dvtoe,,C,manual,0,0,107,14,6
2026-06-10T17:27:19.092737,3,chat_1781083598853_8dvtoe,,C,manual,0,0,115,15,6
2026-06-10T17:27:20.628491,3,chat_1781083598853_8dvtoe,,C,manual,0,0,123,16,6
2026-06-10T17:27:43.690823,3,chat_1781083598854_ikplrl,,B,manual,0,0,70,1,11
2026-06-10T17:28:08.460871,1,chat_1781083684180_0zh1b7,,A,manual,0,0,23,1,6
2026-06-10T17:28:09.992380,1,chat_1781083684180_0zh1b7,,A,manual,0,0,31,2,6
2026-06-10T17:28:11.330882,1,chat_1781083684180_0zh1b7,,A,manual,0,0,38,3,6
2026-06-10T17:28:12.537194,1,chat_1781083684180_0zh1b7,,A,manual,0,0,45,4,6
2026-06-10T17:28:13.858428,1,chat_1781083684180_0zh1b7,,A,manual,0,0,52,5,6
2026-06-10T17:28:15.088632,1,chat_1781083684180_0zh1b7,,A,manual,0,0,59,6,6
2026-06-10T17:28:17.317157,1,chat_1781083684180_0zh1b7,,A,manual,0,0,43,6,6
2026-06-10T17:28:18.594810,1,chat_1781083684180_0zh1b7,,A,manual,0,0,42,6,6
2026-06-10T17:28:19.805242,1,chat_1781083684180_0zh1b7,,A,manual,0,0,42,6,6
2026-06-10T17:28:21.135098,1,chat_1781083684180_0zh1b7,,A,manual,0,0,42,6,6
2026-06-10T17:28:23.106775,1,chat_1781083684180_0zh1b7,,A,manual,0,0,42,6,6
2026-06-10T17:28:24.176930,1,chat_1781083684180_0zh1b7,,A,manual,0,0,42,6,6
2026-06-10T17:28:25.617410,1,chat_1781083684180_0zh1b7,,A,manual,0,0,42,6,6
2026-06-10T17:28:26.682177,1,chat_1781083684180_0zh1b7,,A,manual,0,0,42,6,6
2026-06-10T17:28:27.844656,1,chat_1781083684180_0zh1b7,,A,manual,0,0,42,6,6
2026-06-10T17:28:28.976396,1,chat_1781083684180_0zh1b7,,A,manual,0,0,42,6,6
2026-06-10T17:29:13.364128,1,chat_1781083684180_os3ax4,,A,manual,0,0,34,1,11
2026-06-10T17:29:24.235553,1,chat_1781083684180_os3ax4,,A,auto_vad,0,0,122,2,14
2026-06-10T17:29:53.758687,9,chat_1781083787143_3uddab,,A,manual,0,0,7,1,6
2026-06-10T17:29:55.874148,9,chat_1781083787143_3uddab,,A,manual,0,0,14,2,6
2026-06-10T17:29:57.157232,9,chat_1781083787143_3uddab,,A,manual,0,0,21,3,6
2026-06-10T17:29:58.329768,9,chat_1781083787143_3uddab,,A,manual,0,0,28,4,6
2026-06-10T17:29:59.632304,9,chat_1781083787143_3uddab,,A,manual,0,0,35,5,6
2026-06-10T17:30:00.955691,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:04.864123,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:09.905204,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:13.028427,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:14.610022,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:16.041661,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:17.288266,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:18.530356,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:20.317182,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:25.951473,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:28.992864,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:31.012083,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:32.787984,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:39.936796,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:42.065499,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:44.917549,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:46.595010,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:48.444747,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:50.148955,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:30:59.185497,9,chat_1781083787143_3uddab,,A,manual,0,0,42,6,6
2026-06-10T17:37:36.920541,9,chat_1781084221290_3nkyp5,,A,manual,0,0,11,1,6
2026-06-10T17:37:41.665686,9,chat_1781084221290_3nkyp5,,A,manual,0,0,18,2,6
2026-06-10T17:37:45.459713,9,chat_1781084221290_3nkyp5,,A,manual,0,0,25,3,6
2026-06-10T17:37:46.864639,9,chat_1781084221290_3nkyp5,,A,manual,0,0,32,4,6
2026-06-10T17:37:48.104759,9,chat_1781084221290_3nkyp5,,A,manual,0,0,39,5,6
2026-06-10T17:37:51.911938,9,chat_1781084221290_3nkyp5,,A,manual,0,0,46,6,6
2026-06-10T17:37:55.248556,9,chat_1781084221290_3nkyp5,,A,manual,0,0,42,6,6
2026-06-10T17:38:01.173508,9,chat_1781084221290_3nkyp5,,A,manual,0,0,42,6,6
2026-06-10T17:38:03.320349,9,chat_1781084221290_3nkyp5,,A,manual,0,0,42,6,6
2026-06-10T17:38:05.366690,9,chat_1781084221290_3nkyp5,,A,manual,0,0,42,6,6
2026-06-10T17:38:08.693736,9,chat_1781084221290_3nkyp5,,A,manual,0,0,42,6,6
2026-06-10T17:38:10.321820,9,chat_1781084221290_3nkyp5,,A,manual,0,0,42,6,6
2026-06-10T17:38:13.122568,9,chat_1781084221290_3nkyp5,,A,manual,0,0,42,6,6
2026-06-10T17:38:16.922091,9,chat_1781084221290_3nkyp5,,A,manual,0,0,42,6,6
2026-06-10T17:38:20.347756,9,chat_1781084221290_3nkyp5,,A,manual,0,0,42,6,6
2026-06-10T17:38:23.330645,9,chat_1781084221290_3nkyp5,,A,manual,0,0,42,6,6
2026-06-10T17:39:57.153632,1,chat_1781084377109_2em4z9,,A,manual,0,0,21,1,6
2026-06-10T17:40:01.399813,1,chat_1781084377109_2em4z9,,A,manual,0,0,39,2,6
2026-06-10T17:40:05.596372,1,chat_1781084377109_2em4z9,,A,manual,0,0,46,3,6
2026-06-10T17:40:09.986618,1,chat_1781084377109_2em4z9,,A,manual,0,0,53,4,6
2026-06-10T17:40:11.311568,1,chat_1781084377109_2em4z9,,A,manual,0,0,60,5,6
2026-06-10T17:40:12.506395,1,chat_1781084377109_2em4z9,,A,manual,0,0,67,6,6
2026-06-10T17:40:14.860856,1,chat_1781084377109_2em4z9,,A,manual,0,0,74,7,6
2026-06-10T17:40:16.170630,1,chat_1781084377109_2em4z9,,A,manual,0,0,60,7,6
2026-06-10T17:40:17.748469,1,chat_1781084377109_2em4z9,,A,manual,0,0,49,7,6
2026-06-10T17:40:19.936772,1,chat_1781084377109_2em4z9,,A,manual,0,0,49,7,6
2026-06-10T17:40:27.639898,1,chat_1781084377109_2em4z9,,A,manual,0,0,73,7,7
2026-06-10T17:40:32.749251,1,chat_1781084377109_2em4z9,,A,manual,0,0,86,7,6
2026-06-10T17:40:35.271958,1,chat_1781084377109_2em4z9,,A,manual,0,0,93,7,6
2026-06-10T17:40:37.152507,1,chat_1781084377109_2em4z9,,A,manual,0,0,93,7,6
2026-06-10T17:40:38.779258,1,chat_1781084377109_2em4z9,,A,manual,0,0,93,7,6
2026-06-10T17:40:40.602521,1,chat_1781084377109_2em4z9,,A,manual,0,0,93,7,6
2026-06-10T17:40:51.104084,1,chat_1781084377109_jq3gcs,,A,auto_vad,0,0,52,1,6
2026-06-10T17:41:05.814813,1,chat_1781084377109_jq3gcs,,A,auto_vad,0,0,158,2,13
2026-06-10T19:26:47.304250,2,chat_1781084661566_jodpb4,,B,manual,0,0,16,1,6
2026-06-10T19:27:39.884219,2,chat_1781090826212_502v4f,,B,manual,0,0,15,1,6
2026-06-10T19:27:41.426409,2,chat_1781090826212_502v4f,,B,manual,0,0,22,2,6
2026-06-10T19:27:42.647272,2,chat_1781090826212_502v4f,,B,manual,0,0,29,3,6
2026-06-10T19:27:44.000122,2,chat_1781090826212_502v4f,,B,manual,0,0,36,4,6
2026-06-10T19:27:47.919596,2,chat_1781090826212_502v4f,,B,manual,0,0,43,5,6
2026-06-10T19:27:49.247392,2,chat_1781090826212_502v4f,,B,manual,0,0,50,6,6
2026-06-10T19:27:53.222640,2,chat_1781090826212_502v4f,,B,manual,0,0,57,7,6
2026-06-10T19:27:59.666588,2,chat_1781090875977_4l6uqu,,B,manual,0,0,7,1,6
