Timestamp,Participant_ID,Reset_Type,Mission_ID,Mission_Title,Phase_ID,Phase_Label,Chat_Count_Removed,Message_Count_Removed,Reason,Operator
2026-06-10T19:27:06.226115,2,phase,mission_1781084661566_56fo5t,文字任務 1,text_travel_b_run1_phase_1,Phase 1,1,2,受測者做錯任務,admin
2026-06-10T19:28:40.347226,2,phase,mission_1781084661566_jhg312,語音任務 1,voice_restaurant_a_run1_phase_2,Phase 2,1,2,受測者做錯任務,admin
